input,output
Extraversion,"Extraverted individuals focus their energy and attention outwards  engaging actively with the external world. They are often sociable  outgoing  and enjoy interacting with people and their surroundings. In the MBTI framework  Extraversion is denoted by the letter 'E'."
Introversion,"Introverted individuals focus their energy and attention inwards  preferring to delve into their internal world of thoughts  ideas  and reflections. They are often more reserved  introspective  and may prefer solitary activities or smaller social gatherings. In the MBTI framework  Introversion is denoted by the letter 'I'."
Sensing,"Individuals with a Sensing preference focus on concrete details  tangible facts  and real-world experiences. They tend to be practical  realistic  and focused on the present moment. They prefer information that is clear  specific  and based on their senses. In the MBTI framework  Sensing is denoted by the letter 'S'."
Intuition,"Individuals with an Intuition preference focus on patterns  possibilities  and abstract concepts. They are often imaginative  future-oriented  and enjoy exploring new ideas and theories. They tend to be more interested in the big picture and the meaning behind information. In the MBTI framework  Intuition is denoted by the letter 'N'."
Thinking,"Individuals with a Thinking preference make decisions based on logic  objectivity  and impartial analysis. They are often analytical  rational  and value fairness and consistency. They prioritize reason and evidence over personal feelings when making judgments. In the MBTI framework  Thinking is denoted by the letter 'T'."
Feeling,"Individuals with a Feeling preference make decisions based on values  empathy  and consideration for others. They are often compassionate  caring  and strive for harmony and understanding in their relationships. They prioritize the impact of their decisions on others and their own personal values. In the MBTI framework  Feeling is denoted by the letter 'F'."
Judging,"Individuals with a Judging preference prefer structure  order  and planning. They are often organized  decisive  and like to have things settled and under control. They value schedules  deadlines  and clear plans. In the MBTI framework  Judging is denoted by the letter 'J'."
Perceiving,"Individuals with a Perceiving preference prefer flexibility  spontaneity  and adaptability. They are often open to new information and experiences  and prefer to keep their options open. They value improvisation  going with the flow  and adapting to changing circumstances. In the MBTI framework  Perceiving is denoted by the letter 'P'."
Introverted Thinking,"Introverted Thinking (Ti) is a cognitive function that focuses on internal logical consistency  analyzing information and ideas to ensure their coherence and accuracy. It involves a deep understanding of concepts and principles  and a drive to create internally consistent systems and frameworks. In the MBTI  Ti is a dominant function for INTPs and ISTPs  and an auxiliary function for ENTPs and ESTPs."
Extraverted Intuition,"Extraverted Intuition (Ne) is a cognitive function that explores possibilities  connections between ideas  and potential outcomes. It involves brainstorming  generating new ideas  and seeing patterns and connections that others may miss. In the MBTI  Ne is a dominant function for ENFPs and ENTPs  and an auxiliary function for INFPs and INTPS."
Introverted Sensing,"Introverted Sensing (Si) is a cognitive function that focuses on past experiences  established knowledge  and detailed information. It involves a strong memory for details and a preference for proven methods and routines. In the MBTI  Si is a dominant function for ISTJs and ISFJs  and an auxiliary function for ESTJs and ESFJs."
